task_id,metric,n_train,model,supported_against,comparators_supported,comparators_required,supported_best,conclusion,decision_rule,confidence_level,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_contrasts
bdb2020_rushing_harmonized,primary_loss,80,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,80,relnet,"[""boosted_structure"", ""set_transformer""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,80,attn_relnet,"[""boosted_structure"", ""set_transformer""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,80,set_transformer,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,160,linear_structure,"[""boosted_structure"", ""relnet"", ""set_transformer""]",3,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,160,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,160,relnet,"[""boosted_structure"", ""set_transformer""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,160,attn_relnet,"[""boosted_structure"", ""set_transformer""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,160,set_transformer,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,240,linear_structure,"[""boosted_structure"", ""set_transformer""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,240,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,240,relnet,"[""linear_structure"", ""boosted_structure"", ""set_transformer""]",3,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,240,attn_relnet,"[""linear_structure"", ""boosted_structure"", ""set_transformer""]",3,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,240,set_transformer,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,360,linear_structure,"[""boosted_structure""]",1,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,360,boosted_structure,[],0,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,360,relnet,"[""linear_structure"", ""boosted_structure"", ""set_transformer""]",3,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,360,attn_relnet,"[""linear_structure"", ""boosted_structure"", ""relnet"", ""set_transformer""]",4,4,True,supported_best,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
bdb2020_rushing_harmonized,primary_loss,360,set_transformer,"[""linear_structure"", ""boosted_structure""]",2,4,False,no_supported_best_claim,simultaneous_90pct_mean_loss_ci_beats_every_comparator,0.9,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,60
